id,title,author,rating,reviews_count,genre,asin,ISBN10,image_url,url,,
1,Wuthering Heights (Collins Classics),Emily Brontë,4.6,13451,"['Literature & Fiction', 'Genre Fiction']",7350813,7350813,"https://images-na.ssl-images-amazon.com/images/I/41k1JwQ6zVL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0007350813,,
2,THE DAYS THE CRAYONS QUIT,Drew Daywalt,4.8,16628,"[""Children's Books"", 'Literature & Fiction']",7513763,9780000000000,"https://images-na.ssl-images-amazon.com/images/I/51q21jP9MtL._SX218_BO1,204,203,200_QL40_ML2_.jpg",https://www.amazon.com/dp/0007513763,,
3,War Lord: Book 13 (The Last Kingdom Series),Bernard Cornwell,4.8,11275,"['Literature & Fiction', 'Genre Fiction']",8183988,8183988,"https://images-na.ssl-images-amazon.com/images/I/51n75dtKIPL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0008183988,,
4,Code Name Bananas: The hilarious and epic new children’s book from multi-million bestselling author David Walliams,David Walliams,4.8,15520,"[""Children's Books"", 'Literature & Fiction']",8305838,8305838,"https://images-na.ssl-images-amazon.com/images/I/513FzT0YbIL._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://www.amazon.com/dp/0008305838,,
5,Skincare: The award-winning ultimate no-nonsense guide and Sunday Times No. 1 best-seller,Caroline Hirons,4.8,10884,"['Crafts, Hobbies & Home', 'Home Improvement & Design']",8375526,8375526,"https://images-na.ssl-images-amazon.com/images/I/51agrdZp2BS._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0008375526,,
6,The Hobbit & The Lord of the Rings Boxed Set,J. R. R. Tolkien,4.8,20453,"['Literature & Fiction', 'Mythology & Folk Tales']",8387753,8387753,"https://images-na.ssl-images-amazon.com/images/I/51iy3eo8+KL._SY344_BO1,204,203,200_.jpg",https://www.amazon.com/dp/0008387753,,
7,The Silmarillion,J. R. R. Tolkien,4.7,10261,"['Literature & Fiction', 'Genre Fiction']",8433941,8433941,"https://images-na.ssl-images-amazon.com/images/I/51KZEkcVYML._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0008433941,,
8,The Chronicles of Narnia (Box Set),C. S. Lewis,4.8,11222,"[""Children's Books"", 'Literature & Fiction']",60244887,60244887,"https://images-na.ssl-images-amazon.com/images/I/51YGwxKn3CL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0060244887,,
9,Where the Wild Things Are,Maurice Sendak,4.9,27536,"[""Children's Books"", 'Science Fiction & Fantasy']",60254920,60254920,"https://images-na.ssl-images-amazon.com/images/I/61zGOvBSgAL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0060254920,,
10,The Giving Tree,Shel Silverstein,4.9,23158,"[""Children's Books"", 'Classics']",60256656,60256656,"https://images-na.ssl-images-amazon.com/images/I/41m-Tm2wAqL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0060256656,,
11,The Intelligent Investor Rev Ed.: The Definitive Book on Value Investing,Benjamin GrahamJason Zweig,4.7,28414,"['Business & Money', 'Investing']",60555661,9780000000000,"https://images-na.ssl-images-amazon.com/images/I/41vQ4DGEmoL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0060555661,,
12,Pretty Girls,Karin Slaughter,4.3,10050,"['Mystery, Thriller & Suspense', 'Thrillers & Suspense']",62429078,62429078,"https://images-na.ssl-images-amazon.com/images/I/51059l63ziL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062429078,,
13,Mere Christianity,C. S. Lewis,4.8,10958,"['Christian Books & Bibles', 'Christian Living']",60652888,60652888,"https://images-na.ssl-images-amazon.com/images/I/41u+v3YL9xL._SY344_BO1,204,203,200_.jpg",https://www.amazon.com/dp/0060652888,,
