id,title,author,rating,reviews_count,genre,asin,ISBN10,image_url,url,,,,,,,,,,,,,,,,,,,,,,,
1,Wuthering Heights (Collins Classics),Emily Brontë,4.6 out of 5 stars,13451,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",0007350813,0007350813,"https://images-na.ssl-images-amazon.com/images/I/41k1JwQ6zVL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0007350813,,,,,,,,,,,,,,,,,,,,,,,
2,THE DAYS THE CRAYONS QUIT,Drew Daywalt,4.8 out of 5 stars,16628,"[""Books"",""Children's Books"",""Literature & Fiction""]",0007513763,9.78001E+12,"https://images-na.ssl-images-amazon.com/images/I/51q21jP9MtL._SX218_BO1,204,203,200_QL40_ML2_.jpg",https://www.amazon.com/dp/0007513763,,,,,,,,,,,,,,,,,,,,,,,
3,War Lord: Book 13 (The Last Kingdom Series),Bernard Cornwell,4.8 out of 5 stars,11275,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",0008183988,0008183988,"https://images-na.ssl-images-amazon.com/images/I/51n75dtKIPL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0008183988,,,,,,,,,,,,,,,,,,,,,,,
4,Code Name Bananas: The hilarious and epic new children’s book from multi-million bestselling author David Walliams,David Walliams,4.8 out of 5 stars,15520,"[""Books"",""Children's Books"",""Literature & Fiction""]",0008305838,0008305838,"https://images-na.ssl-images-amazon.com/images/I/513FzT0YbIL._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://www.amazon.com/dp/0008305838,,,,,,,,,,,,,,,,,,,,,,,
5,Skincare: The award-winning ultimate no-nonsense guide and Sunday Times No. 1 best-seller,Caroline Hirons,4.8 out of 5 stars,10884,"[""Books"",""Crafts, Hobbies & Home"",""Home Improvement & Design""]",0008375526,0008375526,"https://images-na.ssl-images-amazon.com/images/I/51agrdZp2BS._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0008375526,,,,,,,,,,,,,,,,,,,,,,,
6,The Hobbit & The Lord of the Rings Boxed Set,J. R. R. Tolkien,4.8 out of 5 stars,20453,"[""Books"",""Literature & Fiction"",""Mythology & Folk Tales""]",0008387753,0008387753,"https://images-na.ssl-images-amazon.com/images/I/51iy3eo8+KL._SY344_BO1,204,203,200_.jpg",https://www.amazon.com/dp/0008387753,,,,,,,,,,,,,,,,,,,,,,,
7,The Silmarillion,J. R. R. Tolkien,4.7 out of 5 stars,10261,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",0008433941,0008433941,"https://images-na.ssl-images-amazon.com/images/I/51KZEkcVYML._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0008433941,,,,,,,,,,,,,,,,,,,,,,,
8,The Chronicles of Narnia (Box Set),C. S. Lewis,4.8 out of 5 stars,11222,"[""Books"",""Children's Books"",""Literature & Fiction""]",0060244887,0060244887,"https://images-na.ssl-images-amazon.com/images/I/51YGwxKn3CL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0060244887,,,,,,,,,,,,,,,,,,,,,,,
9,Where the Wild Things Are,Maurice Sendak,4.9 out of 5 stars,27536,"[""Books"",""Children's Books"",""Science Fiction & Fantasy""]",0060254920,0060254920,"https://images-na.ssl-images-amazon.com/images/I/61zGOvBSgAL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0060254920,,,,,,,,,,,,,,,,,,,,,,,
10,The Giving Tree,Shel Silverstein,4.9 out of 5 stars,23158,"[""Books"",""Children's Books"",""Classics""]",0060256656,0060256656,"https://images-na.ssl-images-amazon.com/images/I/41m-Tm2wAqL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0060256656,,,,,,,,,,,,,,,,,,,,,,,
